,EU27,EU6,EU9,EU10,EU12,EU15,EU25,FI/ AT / SE,NEM10,NEM12,NEM13,NON EURO,EURO ZONE,EU largest 6,TR+MK+ME+RS+AL,EFTA: IS+NO+CH,US,ALL
minimising_waste,8619.0,2111.0,3052.0,3404.0,4150.0,5175.0,8041.0,1057.0,2673.0,3220.0,3492.0,2118.0,6465.0,2312.0,865.0,839.0,370.0,11246.0
minimising_waste_percentage,65.7,70.3,70.1,69.2,68.8,69.0,67.0,72.2,59.4,57.8,57.6,58.6,68.0,68.5,53.4,72.3,77.9,66.5
selling_your_residues_and_waste_to_another_company,2935.0,725.0,987.0,1097.0,1385.0,1698.0,2644.0,269.0,888.0,1096.0,1188.0,708.0,2212.0,757.0,364.0,241.0,120.0,3778.0
selling_your_residues_and_waste_to_another_company_percentage,22.4,24.2,22.7,22.3,23.0,22.6,22.0,18.4,19.7,19.7,19.6,19.6,23.3,22.4,22.4,20.7,25.3,22.3
recycling_by_reusing_material_or_waste_within_the_company,6307.0,1445.0,2217.0,2461.0,3251.0,4031.0,6057.0,762.0,1710.0,2057.0,2231.0,1387.0,4870.0,1679.0,651.0,603.0,324.0,8637.0
recycling_by_reusing_material_or_waste_within_the_company_percentage,48.1,48.1,50.9,50.0,53.9,53.8,50.5,52.0,38.0,36.9,36.8,38.4,51.2,49.8,40.2,52.0,68.3,51.1
designing_products_that_are_easier_to_maintain_repair_or_reuse,3804.0,931.0,1331.0,1484.0,1891.0,2355.0,3523.0,474.0,971.0,1234.0,1333.0,846.0,2930.0,1044.0,534.0,392.0,219.0,5362.0
designing_products_that_are_easier_to_maintain_repair_or_reuse_percentage,29.0,31.0,30.6,30.2,31.3,31.4,29.4,32.4,21.6,22.2,22.0,23.4,30.8,30.9,33.0,33.8,46.2,31.7
other_do_not_read_out_,225.0,60.0,82.0,89.0,111.0,134.0,204.0,16.0,61.0,73.0,78.0,56.0,168.0,46.0,3.0,37.0,0.0,224.0
other_do_not_read_out__percentage,1.7,2.0,1.9,1.8,1.8,1.8,1.7,1.1,1.4,1.3,1.3,1.6,1.8,1.4,0.2,3.2,0.0,1.3
none_do_not_read_out_,804.0,135.0,174.0,219.0,244.0,311.0,637.0,82.0,439.0,576.0,634.0,359.0,464.0,180.0,272.0,99.0,27.0,1155.0
none_do_not_read_out__percentage,6.1,4.5,4.0,4.4,4.0,4.1,5.3,5.6,9.8,10.3,10.5,9.9,4.9,5.3,16.8,8.5,5.6,6.8
don_t_know_no_answer,169.0,49.0,69.0,74.0,88.0,103.0,148.0,5.0,32.0,53.0,59.0,37.0,131.0,52.0,12.0,18.0,1.0,184.0
don_t_know_no_answer_percentage,1.3,1.6,1.6,1.5,1.5,1.4,1.2,0.3,0.7,1.0,1.0,1.0,1.4,1.6,0.7,1.5,0.2,1.1
5_or_more_actions,5480.0,1276.0,1800.0,2028.0,2634.0,3285.0,5058.0,671.0,1614.0,1957.0,2106.0,1301.0,4150.0,1500.0,683.0,491.0,284.0,7435.0
5_or_more_actions_percentage,41.8,42.5,41.3,41.2,43.7,43.8,42.2,45.8,35.9,35.1,34.7,36.0,43.6,44.5,42.2,42.3,59.9,44.0
3_or_4_actions,4116.0,1050.0,1630.0,1806.0,2096.0,2596.0,4006.0,483.0,1292.0,1544.0,1675.0,989.0,3106.0,1010.0,259.0,317.0,103.0,5022.0
3_or_4_actions_percentage,31.4,35.0,37.4,36.7,34.7,34.6,33.4,32.9,28.7,27.7,27.6,27.4,32.7,29.9,16.0,27.3,21.6,29.7
1_or_2_actions,2555.0,492.0,685.0,796.0,971.0,1203.0,2147.0,225.0,1123.0,1439.0,1588.0,927.0,1659.0,631.0,394.0,236.0,60.0,3111.0
1_or_2_actions_percentage,19.5,16.4,15.7,16.2,16.1,16.0,17.9,15.3,25.0,25.8,26.2,25.7,17.4,18.7,24.3,20.4,12.7,18.4
no_actions,804.0,135.0,174.0,219.0,244.0,311.0,637.0,82.0,439.0,576.0,634.0,359.0,464.0,180.0,272.0,99.0,27.0,1155.0
no_actions_percentage,6.1,4.5,4.0,4.4,4.0,4.1,5.3,5.6,9.8,10.3,10.5,9.9,4.9,5.3,16.8,8.5,5.6,6.8
