,EU27,EU6,EU9,EU10,EU12,EU15,EU25,FI/ AT / SE,NEM10,NEM12,NEM13,NON EURO,EURO ZONE,EU largest 6,TR+MK+ME+RS+AL,EFTA: IS+NO+CH,US,ALL
minimise_waste,6939.0,1503.0,2223.0,2512.0,3293.0,4075.0,6438.0,750.0,2297.0,2889.0,3128.0,1843.0,5087.0,1848.0,777.0,589.0,368.0,9490.0
minimise_waste_percentage,52.9,50.0,51.0,51.0,54.6,54.4,53.7,51.2,51.0,51.9,51.6,51.0,53.5,54.8,48.0,50.8,77.4,56.1
sell_your_residues_and_waste_to_another_company,2946.0,625.0,865.0,992.0,1314.0,1625.0,2612.0,294.0,997.0,1286.0,1384.0,805.0,2140.0,787.0,416.0,220.0,167.0,4056.0
sell_your_residues_and_waste_to_another_company_percentage,22.4,20.8,19.9,20.2,21.8,21.7,21.8,20.1,22.2,23.1,22.8,22.3,22.5,23.3,25.7,18.9,35.2,24.0
recycle_by_reusing_material_or_waste_within_the_company,5399.0,1145.0,1767.0,1997.0,2708.0,3349.0,5113.0,612.0,1567.0,2003.0,2158.0,1359.0,4022.0,1515.0,663.0,485.0,325.0,7711.0
recycle_by_reusing_material_or_waste_within_the_company_percentage,41.1,38.1,40.6,40.6,44.9,44.7,42.6,41.8,34.8,36.0,35.6,37.6,42.3,44.9,40.9,41.8,68.4,45.6
designing_products_that_are_easier_to_maintain_repair_or_reuse,3761.0,812.0,1184.0,1339.0,1826.0,2251.0,3440.0,390.0,1060.0,1408.0,1520.0,943.0,2805.0,1053.0,657.0,330.0,235.0,5512.0
designing_products_that_are_easier_to_maintain_repair_or_reuse_percentage,28.7,27.0,27.2,27.2,30.3,30.0,28.7,26.6,23.6,25.3,25.1,26.1,29.5,31.2,40.5,28.4,49.6,32.6
other_do_not_read_out_,221.0,42.0,67.0,73.0,97.0,124.0,202.0,32.0,82.0,92.0,100.0,60.0,161.0,37.0,4.0,30.0,0.0,223.0
other_do_not_read_out__percentage,1.7,1.4,1.5,1.5,1.6,1.6,1.7,2.2,1.8,1.6,1.6,1.7,1.7,1.1,0.2,2.6,0.0,1.3
none_do_not_read_out_,2162.0,531.0,717.0,812.0,874.0,1121.0,1931.0,313.0,919.0,1041.0,1146.0,699.0,1478.0,510.0,332.0,235.0,43.0,2629.0
none_do_not_read_out__percentage,16.5,17.7,16.5,16.5,14.5,15.0,16.1,21.3,20.4,18.7,18.9,19.3,15.5,15.1,20.5,20.2,9.1,15.6
don_t_know_no_answer,345.0,100.0,143.0,154.0,191.0,225.0,317.0,11.0,58.0,80.0,91.0,54.0,285.0,75.0,59.0,41.0,5.0,430.0
don_t_know_no_answer_percentage,2.6,3.3,3.3,3.1,3.2,3.0,2.6,0.7,1.3,1.4,1.5,1.5,3.0,2.2,3.6,3.6,1.1,2.5
5_or_more_actions,5173.0,1088.0,1592.0,1822.0,2482.0,3045.0,4756.0,489.0,1618.0,2087.0,2249.0,1343.0,3819.0,1430.0,695.0,403.0,311.0,7316.0
5_or_more_actions_percentage,39.4,36.2,36.5,37.0,41.2,40.6,39.6,33.4,36.0,37.5,37.1,37.2,40.2,42.4,42.9,34.7,65.4,43.3
3_or_4_actions,2775.0,765.0,1175.0,1297.0,1447.0,1788.0,2748.0,322.0,869.0,1046.0,1129.0,638.0,2119.0,743.0,179.0,191.0,69.0,3438.0
3_or_4_actions_percentage,21.1,25.5,27.0,26.4,24.0,23.8,22.9,22.0,19.3,18.8,18.6,17.6,22.3,22.0,11.1,16.5,14.6,20.3
1_or_2_actions,2669.0,519.0,729.0,836.0,1038.0,1318.0,2244.0,331.0,1034.0,1315.0,1447.0,881.0,1809.0,615.0,355.0,291.0,47.0,3093.0
1_or_2_actions_percentage,20.3,17.3,16.7,17.0,17.2,17.6,18.7,22.6,23.0,23.6,23.9,24.4,19.0,18.2,21.9,25.1,9.8,18.3
no_actions,2162.0,531.0,717.0,812.0,874.0,1121.0,1931.0,313.0,919.0,1041.0,1146.0,699.0,1478.0,510.0,332.0,235.0,43.0,2629.0
no_actions_percentage,16.5,17.7,16.5,16.5,14.5,15.0,16.1,21.3,20.4,18.7,18.9,19.3,15.5,15.1,20.5,20.2,9.1,15.6
