criteria,file_code,EU27,BE,BG,CZ,DK,DE,EE,IE,EL,ES,FR,HR,IT,CY,LV,LT,LU,HU,MT,NL,AT,PL,PT,RO,SI,SK,FI,SE,UK,IS,NO,CH,ME,MD,MK,AL,RS,TR,US
advice_or_other_non_financial_assistance_from_private_consulting_and_audit_companies_percentage,Q6,40.5,51.2,10.0,62.2,47.5,24.1,38.9,17.8,58.0,51.8,26.6,2.8,66.3,50.1,16.5,44.1,28.3,20.7,19.6,25.9,48.5,17.9,24.1,43.4,23.2,43.2,38.1,50.9,26.4,29.2,24.2,31.9,48.4,6.6,21.3,0.6,6.3,23.5,31.2
advice_or_other_non_financial_assistance_from_business_associations_and_clusters,Q6,746.0,58.0,21.0,33.0,38.0,43.0,9.0,27.0,29.0,39.0,37.0,10.0,27.0,18.0,6.0,29.0,18.0,30.0,15.0,28.0,51.0,4.0,16.0,11.0,12.0,37.0,49.0,33.0,25.0,4.0,58.0,56.0,0.0,0.0,2.0,0.0,18.0,12.0,58.0
advice_or_other_non_financial_assistance_from_business_associations_and_clusters_percentage,Q6,27.2,43.8,35.1,36.7,41.1,31.9,44.6,23.4,36.9,27.4,24.6,18.9,19.8,56.2,23.9,45.0,30.6,24.9,18.7,18.5,37.5,13.3,28.7,28.0,17.1,35.8,50.3,45.2,22.1,20.9,35.5,33.3,0.0,4.4,5.9,2.0,16.8,15.4,42.8
advice_or_other_non_financial_assistance_from_supply_chain_partners,Q6,756.0,43.0,12.0,35.0,40.0,47.0,11.0,24.0,48.0,38.0,41.0,8.0,20.0,9.0,5.0,33.0,17.0,32.0,8.0,39.0,35.0,8.0,6.0,14.0,34.0,48.0,41.0,33.0,42.0,8.0,60.0,84.0,4.0,1.0,4.0,3.0,22.0,18.0,73.0
advice_or_other_non_financial_assistance_from_supply_chain_partners_percentage,Q6,27.6,32.9,20.2,39.0,42.6,34.4,55.3,20.5,62.4,26.4,27.2,16.3,14.4,27.5,20.5,51.3,28.9,26.4,10.7,25.7,25.7,25.9,10.3,34.2,47.2,46.4,42.2,44.1,37.4,41.5,37.2,50.3,32.3,20.5,10.4,24.9,21.4,23.6,53.6
other_do_not_read_out_,Q6,153.0,4.0,3.0,2.0,9.0,14.0,0.0,0.0,0.0,5.0,7.0,7.0,8.0,3.0,6.0,0.0,4.0,9.0,11.0,3.0,15.0,2.0,9.0,2.0,3.0,3.0,5.0,2.0,20.0,0.0,3.0,4.0,0.0,1.0,2.0,0.0,7.0,0.0,6.0
other_do_not_read_out__percentage,Q6,5.6,2.9,6.0,2.1,10.2,10.6,0.0,0.2,0.1,3.7,4.9,14.5,6.2,9.7,24.1,0.2,6.4,7.0,14.0,2.0,11.3,7.7,15.1,5.5,4.6,2.6,5.6,3.1,17.7,0.8,1.6,2.1,0.4,8.7,5.3,1.2,6.6,0.4,4.5
don_t_know_no_answer,Q6,113.0,2.0,2.0,3.0,5.0,6.0,0.0,4.0,0.0,0.0,21.0,11.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,4.0,0.0,2.0,0.0,0.0,7.0,8.0,3.0,0.0,0.0,6.0,14.0,7.0,0.0,0.0,1.0,3.0,3.0,13.0,11.0
don_t_know_no_answer_percentage,Q6,4.1,1.2,3.2,3.4,5.9,4.5,0.6,3.9,0.0,0.1,13.5,21.2,0.0,0.0,5.0,0.0,0.0,2.0,0.4,2.5,0.0,7.0,0.0,0.0,9.5,7.4,2.9,0.4,0.0,28.4,8.3,4.4,0.0,0.0,2.0,24.6,2.9,17.1,8.1
total_public_sector_,Q6,1356.0,82.0,30.0,55.0,29.0,72.0,13.0,80.0,48.0,63.0,82.0,20.0,47.0,11.0,8.0,48.0,42.0,99.0,40.0,86.0,75.0,9.0,12.0,18.0,22.0,49.0,41.0,43.0,76.0,7.0,115.0,74.0,1.0,2.0,10.0,3.0,85.0,24.0,68.0
total_public_sector__percentage,Q6,49.4,61.9,52.0,62.3,31.3,53.1,61.3,68.9,62.1,43.8,54.0,40.4,34.8,34.5,33.3,74.3,73.1,81.2,51.4,55.7,55.4,27.0,21.2,43.8,30.3,47.3,42.0,57.7,67.7,38.0,70.6,44.3,7.6,35.1,28.1,26.9,81.1,30.2,49.7
total_private_sector_,Q6,2108.0,107.0,42.0,76.0,75.0,111.0,17.0,84.0,73.0,123.0,82.0,22.0,113.0,28.0,13.0,56.0,45.0,75.0,57.0,124.0,121.0,26.0,43.0,32.0,51.0,84.0,87.0,71.0,88.0,12.0,121.0,140.0,12.0,6.0,23.0,6.0,48.0,54.0,111.0
total_private_sector__percentage,Q6,76.8,81.4,71.8,85.9,80.1,81.7,81.1,72.8,94.1,86.1,53.5,43.2,83.3,88.5,56.9,85.9,76.9,61.2,72.8,80.9,89.6,81.1,75.2,77.9,70.1,80.8,89.9,95.8,77.7,60.4,74.6,83.8,98.7,89.1,67.7,50.8,46.0,69.4,81.5
