,EU27,BE,BG,CZ,DK,DE,EE,IE,EL,ES,FR,HR,IT,CY,LV,LT,LU,HU,MT,NL,AT,PL,PT,RO,SI,SK,FI,SE,UK,IS,NO,CH,ME,MD,MK,AL,RS,TR,US
advice_or_other_non_financial_assistance_from_business_associations_and_clusters,316.0,27.0,3.0,16.0,32.0,13.0,5.0,35.0,20.0,33.0,16.0,2.0,3.0,0.0,2.0,18.0,9.0,0.0,0.0,2.0,38.0,0.0,1.0,5.0,6.0,13.0,25.0,25.0,4.0,2.0,14.0,20.0,6.0,1.0,7.0,3.0,0.0,0.0,35.0
advice_or_other_non_financial_assistance_from_business_associations_and_clusters_percentage,30.3,39.1,9.9,53.0,55.2,39.2,37.3,71.2,36.4,41.8,32.9,17.8,8.2,0.0,19.8,46.6,50.4,5.0,0.0,3.5,45.5,2.2,5.4,27.4,15.0,37.2,50.5,40.3,8.0,14.6,25.1,32.1,43.2,10.3,30.9,86.2,1.4,4.4,57.2
advice_or_other_non_financial_assistance_from_supply_chain_partners,427.0,28.0,15.0,22.0,31.0,22.0,6.0,13.0,27.0,33.0,19.0,4.0,5.0,2.0,4.0,20.0,2.0,5.0,0.0,33.0,5.0,6.0,0.0,10.0,26.0,17.0,27.0,37.0,23.0,4.0,20.0,32.0,3.0,1.0,6.0,0.0,7.0,3.0,41.0
advice_or_other_non_financial_assistance_from_supply_chain_partners_percentage,40.9,40.4,52.6,71.8,53.3,64.0,38.2,26.2,48.6,42.3,39.9,36.2,12.8,17.9,42.8,52.0,11.3,62.8,0.0,49.8,5.6,58.0,0.0,59.7,62.5,47.8,54.9,60.1,49.6,29.4,36.6,51.1,19.1,12.2,29.2,4.0,33.1,84.8,67.2
other_do_not_read_out_,101.0,2.0,4.0,0.0,10.0,5.0,1.0,6.0,8.0,4.0,5.0,3.0,5.0,4.0,0.0,0.0,1.0,0.0,0.0,13.0,5.0,2.0,0.0,3.0,6.0,3.0,1.0,3.0,0.0,0.0,2.0,5.0,0.0,3.0,3.0,0.0,2.0,0.0,5.0
other_do_not_read_out__percentage,9.7,2.3,12.5,0.0,17.1,14.4,9.4,11.9,13.8,4.9,9.6,29.5,11.7,34.5,2.4,0.3,6.0,1.0,1.8,19.7,5.5,22.9,0.0,17.2,13.9,7.2,2.9,4.1,1.0,1.0,3.9,7.8,0.7,32.5,14.0,0.0,7.7,0.0,7.5
don_t_know_no_answer,50.0,7.0,3.0,1.0,2.0,1.0,0.0,1.0,0.0,3.0,7.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,6.0,2.0,3.0,9.0,1.0,5.0,2.0,3.0,0.0,0.0,0.0,7.0
don_t_know_no_answer_percentage,4.8,9.4,11.1,2.8,3.2,2.4,3.2,2.6,0.0,4.1,15.0,2.6,0.1,9.4,5.1,0.0,0.0,16.1,14.5,0.0,0.5,1.0,0.0,0.6,0.6,11.8,4.8,9.2,3.3,25.1,16.3,2.0,36.8,27.8,13.6,1.0,1.0,0.0,11.3
total_public_sector_,333.0,37.0,4.0,18.0,8.0,13.0,12.0,19.0,19.0,17.0,5.0,4.0,14.0,0.0,4.0,24.0,7.0,3.0,5.0,39.0,40.0,0.0,5.0,3.0,9.0,8.0,21.0,23.0,13.0,5.0,24.0,22.0,0.0,1.0,5.0,0.0,5.0,3.0,20.0
total_public_sector__percentage,32.0,52.3,12.6,60.7,13.2,38.8,79.8,37.6,33.7,22.1,9.8,43.0,33.1,0.0,40.1,63.7,38.9,37.1,43.1,59.5,48.3,4.6,30.7,16.4,20.8,22.9,42.8,37.3,28.1,42.8,44.1,34.4,0.0,12.2,25.4,3.0,25.7,85.5,32.6
total_private_sector_,847.0,58.0,22.0,28.0,47.0,27.0,10.0,48.0,44.0,67.0,36.0,7.0,34.0,6.0,7.0,37.0,15.0,7.0,6.0,46.0,78.0,8.0,14.0,14.0,31.0,30.0,46.0,50.0,40.0,4.0,37.0,57.0,9.0,3.0,10.0,3.0,14.0,4.0,49.0
total_private_sector__percentage,81.3,83.0,76.4,93.8,80.2,80.8,71.5,97.1,78.7,85.1,75.1,64.9,83.2,56.1,72.7,98.9,87.1,78.3,45.2,69.0,93.2,74.9,85.6,82.2,73.5,83.6,91.6,81.0,87.6,32.4,69.1,89.5,62.5,39.6,48.2,96.0,67.0,100.0,81.2
